Reading OpenROAD database at '/Users/refikyalcin/vlsi/digital/io-ring-demo/config/runs/run_1/50-openroad-tapendcapinsertion/top.odb'…
Reading library file at '/Users/refikyalcin/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading design constraints file at '/nix/store/7x1qis8my0i44w1lx1yq2wiwh6yc774i-python3-3.11.9-env/lib/python3.11/site-packages/librelane/scripts/base.sdc'…
[WARNING STA-0366] port 'clk' not found.
[INFO] Using clock clk…
[INFO] Setting output delay to: 2.0
[INFO] Setting input delay to: 2.0
[WARNING STA-0366] port 'clk' not found.
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[WARNING STA-0419] transition time can not be specified for virtual clocks.
[INFO] Setting timing derate to: 5%
[WARNING STA-0450] virtual clock clk can not be propagated.
[INFO] Setting global connections...
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VSSD is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VDDIO_Q is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VDDIO is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VSWITCH is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VSSIO is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VDDA is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VCCD is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VCCHIB is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VSSA is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[0\].pad_gpio_in/VSSIO_Q is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[1\].pad_gpio_in/VSSD is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[1\].pad_gpio_in/VDDIO_Q is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[1\].pad_gpio_in/VDDIO is not connected to any net.
[WARNING PDN-0189] Supply pin gen_east_pads\[1\].pad_gpio_in/VSWITCH is not connected to any net.
